INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
7977,2017,D14,NSA,Crimes Against the Person,Sexual Violation,2,1,7930
7926,2023,D11,Little Portugal (84),Crimes Against Property,Break & Enter-Apartment,3,1,7931
7779,2014,D22,Long Branch (19),Crimes Against Property,Auto Theft,9,1,7932
7978,2020,D43,West Rouge (143),Other Criminal Code Violations,Other,10,6,7933
7927,2022,D22,Kingsway South (15),Crimes Against Property,Auto Theft,69,1,7934
7780,2014,D52,St Lawrence-East Bayfront-The Islands (166),Crimes Against Property,Theft Over $5000,6,3,7935
7979,2021,D43,Scarborough Village (139),Crimes Against Property,Theft Over $5000,6,2,7936
7928,2016,D22,Edenbridge-Humber Valley (9),Crimes Against Property,Other,52,9,7937
7781,2020,D11,Junction Area (90),Crimes Against Property,Theft Under $5000,469,162,7938
7980,2023,D14,Little Portugal (84),Criminal Code Traffic,Other,7,6,7939
7929,2016,D32,East Willowdale (152),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,3,7940
7782,2018,D51,Regent Park (72),Other Criminal Code Violations,Other,75,64,7941
7981,2016,D41,Ionview (125),Crimes Against Property,Break & Enter-Commercial,2,1,7942
7930,2015,D13,Junction-Wallace Emerson (171),Other Federal Statute Violations,Other,1,1,7943
7783,2015,D43,Woburn North (142),Criminal Code Traffic,Other,19,19,7944
7982,2019,D33,St.Andrew-Windfields (40),Crimes Against Property,Auto Theft,15,2,7945
7931,2016,D33,Flemingdon Park (44),Other Criminal Code Violations,Other,4,4,7946
7784,2015,D14,South Parkdale (85),Crimes Against Property,Other,124,55,7947
7983,2023,D42,Agincourt South-Malvern West (128),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,4,7948
7932,2018,D33,Hillcrest Village (48),Crimes Against Property,Auto Theft,26,3,7949
7785,2016,D33,Don Valley Village (47),Crimes Against Property,Break & Enter-House,31,2,7950
7984,2018,D32,Downsview (155),Crimes Against Property,Break & Enter-Commercial,8,1,7951
7786,2019,D52,Harbourfront-CityPlace (165),Crimes Against the Person,Other,20,12,7952
7933,2020,D33,Victoria Village (43),Crimes Against Property,Break & Enter-Commercial,5,1,7953
7985,2015,D23,Eringate-Centennial-West Deane (11),Controlled Drugs and Substances Act,Other,1,1,7954
7787,2014,D13,Forest Hill North (102),Criminal Code Traffic,Other,2,2,7955
7986,2019,D11,Junction-Wallace Emerson (171),Crimes Against the Person,Sexual Violation,14,9,7956
7934,2022,D41,Wexford/Maryvale (119),Criminal Code Traffic,Other,19,15,7957
7987,2021,D55,Woodbine-Lumsden (60),Crimes Against the Person,Assault,29,17,7958
7788,2022,D32,Yonge-Doris (151),Crimes Against Property,Break & Enter-Apartment,2,1,7959
7935,2023,D13,Casa Loma (96),Crimes Against Property,Break & Enter-House,4,1,7960
7988,2014,D22,Islington (158),Crimes Against the Person,Sexual Violation,7,1,7961
7789,2014,D12,Rustic (28),Other Federal Statute Violations,Other,2,2,7962
7936,2014,D12,Kensington-Chinatown (78),Crimes Against Property,Theft Under $5000,1,1,7963
7989,2022,D55,Victoria Village (43),Crimes Against Property,Other,44,7,7964
7790,2018,D41,Yonge-Bay Corridor (170),Other Criminal Code Violations,Other,1,1,7965
7937,2014,D42,Milliken (130),Criminal Code Traffic,Other,19,19,7966
7990,2020,D55,Danforth (66),Crimes Against Property,Other,67,12,7967
7791,2016,D22,Stonegate-Queensway (16),Crimes Against Property,Break & Enter-Commercial,14,4,7968
7938,2015,D52,Downtown Yonge East (168),Other Federal Statute Violations,Other,1,1,7969
7991,2021,D22,Mimico-Queensway (160),Crimes Against Property,Theft Under $5000,117,10,7970
