INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
1,2022,D32,Bathurst Manor (34),Crimes Against Property,Auto Theft,79,0,1
2,2023,D12,Brookhaven-Amesbury (30),Crimes Against Property,Break & Enter-House,1,0,2
3,2014,D13,Englemount-Lawrence (32),Crimes Against Property,Auto Theft,7,0,3
4,2021,NSA,Moss Park (73),Crimes Against the Person,Sexual Violation,1,0,4
5,2020,D53,Forest Hill North (102),Crimes Against Property,Break & Enter-Apartment,2,0,5
6,2017,D43,Highland Creek (134),Crimes Against Property,Break & Enter-Apartment,1,0,6
7,2023,D22,NSA,Crimes Against Property,Theft Under $5000,3,0,7
8,2018,D33,Fenside-Parkwoods (150),Crimes Against Property,Break & Enter-Other,1,0,8
9,2014,D55,Oakridge (121),Crimes Against the Person,Sexual Violation,1,0,9
10,2022,D43,Guildwood (140),Crimes Against Property,Theft Over $5000,2,0,10
11,2021,D23,Humber Heights-Westmount (8),Crimes Against Property,Break & Enter-Commercial,1,0,11
12,2016,D52,Wellington Place (164),Crimes Against Property,Break & Enter-House,1,0,12
13,2017,D11,NSA,Crimes Against Property,Auto Theft,1,0,13
14,2017,D42,East L'Amoreaux (148),Crimes Against Property,Auto Theft,13,0,14
15,2019,D53,Forest Hill South (101),Crimes Against Property,Break & Enter-Apartment,2,0,15
16,2014,D23,Humbermede (22),Crimes Against the Person,Robbery-Other,1,0,16
17,2021,D13,Yorkdale-Glen Park (31),Crimes Against Property,Break & Enter-Other,2,0,17
18,2018,D52,Church-Wellesley (167),Crimes Against the Person,Sexual Violation,2,0,18
19,2023,D32,Newtonbrook East (50),Crimes Against Property,Break & Enter-Apartment,2,0,19
20,2017,D55,Blake-Jones (69),Crimes Against Property,Break & Enter-Other,3,0,20
21,2016,NSA,Clairlea-Birchmount (120),Crimes Against Property,Other,1,0,21
22,2015,D55,North Riverdale (68),Crimes Against Property,Auto Theft,13,0,22
23,2014,D32,Englemount-Lawrence (32),Crimes Against the Person,Attempt Murder,1,0,23
24,2015,D13,Caledonia-Fairbank (109),Crimes Against the Person,Sexual Violation,2,0,24
25,2014,D33,Victoria Village (43),Crimes Against the Person,Robbery-Other,1,0,25
26,2015,D42,Woburn North (142),Crimes Against Property,Other,1,0,26
27,2019,D53,North Toronto (173),Crimes Against Property,Break & Enter-House,1,0,27
28,2022,D41,Bendale South (157),Crimes Against Property,Auto Theft,5,0,28
29,2021,D14,Kensington-Chinatown (78),Crimes Against Property,Auto Theft,16,0,29
30,2020,D22,Markland Wood (12),Crimes Against Property,Break & Enter-House,3,0,30
31,2014,D12,Beechborough-Greenbrook (112),Crimes Against the Person,Attempt Murder,1,0,31
32,2019,D41,Cliffcrest (123),Crimes Against Property,Theft Over $5000,1,0,32
33,2023,D11,Lambton Baby Point (114),Crimes Against Property,Theft Over $5000,2,0,33
34,2023,D14,University (79),Crimes Against Property,Theft Over $5000,5,0,34
35,2021,D23,Humber Heights-Westmount (8),Crimes Against Property,Auto Theft,21,0,35
36,2023,D32,Downsview (155),Other Federal Statute Violations,Other,2,0,36
37,2022,D55,Danforth East York (59),Crimes Against Property,Theft Over $5000,3,0,37
38,2020,D23,Thistletown-Beaumond Heights (3),Crimes Against Property,Break & Enter-House,1,0,38
39,2023,D32,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Theft Over $5000,2,0,39
40,2014,D43,Centennial Scarborough (133),Crimes Against Property,Break & Enter-Commercial,2,0,40
41,2019,D33,Victoria Village (43),Crimes Against Property,Auto Theft,10,0,41
42,2017,NSA,Black Creek (24),Crimes Against Property,Theft Over $5000,1,0,42
43,2014,D11,South Parkdale (85),Crimes Against Property,Fraud,2,0,43
44,2017,D33,Fenside-Parkwoods (150),Crimes Against Property,Break & Enter-House,9,0,44
45,2020,D53,Forest Hill South (101),Crimes Against Property,Auto Theft,15,0,45
46,2014,D32,Downsview (155),Crimes Against the Person,Attempt Murder,1,0,46
47,2017,D31,Humbermede (22),Crimes Against Property,Break & Enter-Other,1,0,47
48,2021,D55,North Riverdale (68),Crimes Against the Person,Robbery-Other,3,0,48
49,2019,D32,Downsview (155),Crimes Against the Person,Robbery-Other,3,0,49
50,2019,D42,Steeles (116),Crimes Against Property,Break & Enter-Apartment,5,0,50
101,2017,D31,Pelmo Park-Humberlea (23),Crimes Against Property,Break & Enter-Other,1,0,51
102,2019,D23,Humber Heights-Westmount (8),Crimes Against Property,Break & Enter-Commercial,3,0,52
103,2021,D23,Rustic (28),Crimes Against Property,Fraud,1,0,53
104,2022,D23,Edenbridge-Humber Valley (9),Crimes Against Property,Fraud,5,0,54
105,2014,D55,Woodbine-Lumsden (60),Crimes Against Property,Break & Enter-Apartment,6,0,55
106,2021,D32,Westminster-Branson (35),Crimes Against Property,Auto Theft,61,0,56
107,2015,D53,Leaside-Bennington (56),Crimes Against Property,Break & Enter-Commercial,8,0,57
108,2022,D11,Little Portugal (84),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0,58
109,2015,D11,Rockcliffe-Smythe (111),Crimes Against Property,Break & Enter-Commercial,1,0,59
110,2017,D32,Yonge-Doris (151),Crimes Against Property,Auto Theft,12,0,60
111,2022,D42,L'Amoreaux West (147),Crimes Against Property,Break & Enter-House,9,0,61
112,2022,D41,Bendale-Glen Andrew (156),Crimes Against Property,Theft Over $5000,4,0,62
113,2022,D13,Forest Hill North (102),Crimes Against the Person,Sexual Violation,1,0,63
114,2021,D51,Beechborough-Greenbrook (112),Crimes Against Property,Theft Under $5000,1,0,64
115,2017,D53,Bedford Park-Nortown (39),Crimes Against Property,Break & Enter-Commercial,1,0,65
116,2016,D31,Humbermede (22),Crimes Against Property,Theft Over $5000,1,0,66
117,2014,D42,Malvern East (146),Crimes Against the Person,Attempt Murder,2,0,67
118,2020,D55,East End-Danforth (62),Crimes Against Property,Break & Enter-House,12,0,68
119,2021,D22,Eringate-Centennial-West Deane (11),Other Federal Statute Violations,Other,3,0,69
120,2021,D42,East L'Amoreaux (148),Crimes Against Property,Break & Enter-Other,2,0,70
121,2014,D41,Cliffcrest (123),Crimes Against Property,Fraud,6,0,71
122,2021,D13,Forest Hill South (101),Crimes Against Property,Theft Over $5000,2,0,72
123,2021,D52,Church-Wellesley (167),Crimes Against Property,Auto Theft,3,0,73
124,2019,D22,West Humber-Clairville (1),Crimes Against Property,Theft Under $5000,1,0,74
125,2017,D52,Bathurst Manor (34),Crimes Against the Person,Sexual Violation,1,0,75
126,2020,D55,The Beaches (63),Crimes Against Property,Break & Enter-Other,7,0,76
127,2014,NSA,North Toronto (173),Crimes Against the Person,Other,1,0,77
128,2017,D13,Caledonia-Fairbank (109),Crimes Against Property,Theft Over $5000,1,0,78
129,2021,D52,University (79),Crimes Against Property,Theft Over $5000,1,0,79
130,2023,D43,Highland Creek (134),Crimes Against Property,Break & Enter-Apartment,1,0,80
131,2018,D12,Pelmo Park-Humberlea (23),Crimes Against Property,Break & Enter-Other,1,0,81
132,2019,D32,York University Heights (27),Crimes Against Property,Break & Enter-Other,3,0,82
133,2015,D55,Broadview North (57),Crimes Against Property,Theft Over $5000,2,0,83
134,2014,D14,St Lawrence-East Bayfront-The Islands (166),Crimes Against Property,Theft Over $5000,1,0,84
135,2019,D23,Rexdale-Kipling (4),Crimes Against the Person,Robbery-Financial,5,0,85
136,2020,D43,West Rouge (143),Crimes Against Property,Auto Theft,4,0,86
137,2021,D32,Clanton Park (33),Crimes Against Property,Break & Enter-Apartment,10,0,87
138,2019,D42,NSA,Crimes Against Property,Other,1,0,88
139,2018,D13,Forest Hill South (101),Crimes Against Property,Break & Enter-Other,4,0,89
140,2017,D55,Playter Estates-Danforth (67),Crimes Against Property,Theft Over $5000,1,0,90
141,2018,D52,Wellington Place (164),Crimes Against Property,Break & Enter-Other,2,0,91
142,2018,D33,Henry Farm (53),Crimes Against Property,Break & Enter-Commercial,8,0,92
143,2020,D55,Birchcliffe-Cliffside (122),Crimes Against the Person,Assault,1,0,93
144,2016,D32,Bedford Park-Nortown (39),Crimes Against Property,Auto Theft,14,0,94
145,2016,D22,Edenbridge-Humber Valley (9),Crimes Against Property,Break & Enter-Other,2,0,95
146,2023,D22,Humber Heights-Westmount (8),Crimes Against the Person,Attempt Murder,2,0,96
147,2014,NSA,Bay-Cloverhill (169),Crimes Against Property,Other,1,0,97
148,2020,D11,Junction Area (90),Crimes Against the Person,Robbery-Financial,2,0,98
149,2014,D14,Fort York-Liberty Village (163),Crimes Against Property,Break & Enter-House,1,0,99
150,2020,D52,Yonge-Bay Corridor (170),Crimes Against the Person,Robbery-Financial,1,0,100
51,2014,D53,Forest Hill South (101),Crimes Against the Person,Robbery-Other,1,0,101
52,2023,D42,NSA,Crimes Against Property,Theft Over $5000,1,0,102
53,2020,D55,Old East York (58),Crimes Against Property,Break & Enter-Apartment,2,0,103
54,2018,D43,Scarborough Village (139),Crimes Against the Person,Attempt Murder,1,0,104
55,2016,D13,Wychwood (94),Crimes Against Property,Break & Enter-Other,3,0,105
56,2022,D53,Forest Hill South (101),Crimes Against the Person,Sexual Violation,3,0,106
57,2022,D41,Dorset Park (126),Crimes Against Property,Break & Enter-Apartment,1,0,107
58,2016,D33,Bayview Woods-Steeles (49),Crimes Against Property,Theft Over $5000,2,0,108
59,2015,D55,Oakridge (121),Crimes Against the Person,Robbery-Other,1,0,109
60,2020,D41,Ionview (125),Crimes Against Property,Break & Enter-Commercial,2,0,110
61,2017,D33,Steeles (116),Crimes Against Property,Theft Under $5000,1,0,111
62,2020,D12,Weston (113),Other Federal Statute Violations,Other,1,0,112
63,2022,D32,Yorkdale-Glen Park (31),Crimes Against Property,Break & Enter-Apartment,1,0,113
64,2015,D41,Dorset Park (126),Crimes Against Property,Break & Enter-Other,1,0,114
65,2019,D14,NSA,Crimes Against Property,Theft Under $5000,2,0,115
66,2021,D12,Maple Leaf (29),Crimes Against Property,Break & Enter-Apartment,2,0,116
67,2020,D53,Bay-Cloverhill (169),Crimes Against Property,Theft Under $5000,3,0,117
68,2015,D23,Elms-Old Rexdale (5),Crimes Against Property,Theft Over $5000,1,0,118
69,2021,D32,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Break & Enter-Commercial,2,0,119
70,2018,D33,Pleasant View (46),Crimes Against Property,Break & Enter-Commercial,4,0,120
71,2015,D55,Birchcliffe-Cliffside (122),Crimes Against Property,Fraud,1,0,121
72,2023,D23,NSA,Crimes Against Property,Theft Over $5000,1,0,122
73,2014,D23,Princess-Rosethorn (10),Crimes Against Property,Theft Over $5000,1,0,123
74,2018,D22,Eringate-Centennial-West Deane (11),Other Federal Statute Violations,Other,1,0,124
75,2023,D55,Danforth East York (59),Crimes Against Property,Theft Over $5000,4,0,125
76,2018,D32,Englemount-Lawrence (32),Crimes Against Property,Break & Enter-Apartment,5,0,126
77,2016,D33,Parkwoods-O'Connor Hills (149),Crimes Against Property,Theft Over $5000,1,0,127
78,2021,D13,Casa Loma (96),Crimes Against Property,Break & Enter-Apartment,1,0,128
79,2018,D23,Princess-Rosethorn (10),Crimes Against Property,Other,3,0,129
80,2016,D55,Flemingdon Park (44),Crimes Against Property,Break & Enter-Other,1,0,130
81,2015,D42,Malvern East (146),Crimes Against Property,Break & Enter-Commercial,2,0,131
82,2022,D42,Morningside Heights (144),Crimes Against Property,Break & Enter-Apartment,1,0,132
83,2022,D23,Elms-Old Rexdale (5),Crimes Against Property,Break & Enter-Other,1,0,133
84,2022,D23,Princess-Rosethorn (10),Crimes Against the Person,Sexual Violation,2,0,134
85,2018,D42,Tam O'Shanter-Sullivan (118),Crimes Against Property,Theft Over $5000,3,0,135
86,2023,D22,Alderwood (20),Crimes Against Property,Break & Enter-Other,2,0,136
87,2021,D52,University (79),Crimes Against the Person,Robbery-Other,3,0,137
88,2020,D12,Junction Area (90),Crimes Against Property,Theft Over $5000,2,0,138
89,2017,D42,Centennial Scarborough (133),Crimes Against Property,Theft Over $5000,1,0,139
90,2019,D52,University (79),Crimes Against Property,Break & Enter-Commercial,5,0,140
91,2021,D14,Kensington-Chinatown (78),Other Federal Statute Violations,Other,1,0,141
92,2015,D41,Kennedy Park (124),Crimes Against Property,Auto Theft,14,0,142
93,2015,D33,Pleasant View (46),Other Federal Statute Violations,Other,1,0,143
94,2020,D11,Little Portugal (84),Crimes Against Property,Break & Enter-Apartment,3,0,144
95,2018,D13,Forest Hill South (101),Crimes Against Property,Break & Enter-House,15,0,145
96,2014,D55,Taylor-Massey (61),Crimes Against Property,Break & Enter-Other,3,0,146
97,2019,D23,Rexdale-Kipling (4),Crimes Against Property,Theft Over $5000,3,0,147
98,2021,D42,Agincourt South-Malvern West (128),Crimes Against Property,Break & Enter-Commercial,18,0,148
99,2020,D41,Bendale-Glen Andrew (156),Crimes Against the Person,Sexual Violation,1,0,149
100,2017,D22,South Riverdale (70),Crimes Against the Person,Assault,1,0,150
301,2015,D51,NSA,Crimes Against Property,Break & Enter-Other,1,0,151
302,2023,D42,NSA,Crimes Against Property,Auto Theft,2,0,152
303,2019,D33,Victoria Village (43),Crimes Against Property,Break & Enter-House,6,0,153
304,2019,D11,Runnymede-Bloor West Village (89),Crimes Against Property,Break & Enter-House,3,0,154
305,2021,D43,NSA,Crimes Against the Person,Robbery-Other,1,0,155
306,2018,D22,Long Branch (19),Crimes Against Property,Auto Theft,11,0,156
307,2016,D14,South Parkdale (85),Crimes Against the Person,Attempt Murder,2,0,157
308,2020,D32,Clanton Park (33),Crimes Against Property,Break & Enter-House,6,0,158
309,2014,D23,Elms-Old Rexdale (5),Crimes Against Property,Break & Enter-Apartment,2,0,159
310,2016,D22,South Parkdale (85),Crimes Against Property,Theft Under $5000,1,0,160
311,2016,D43,West Rouge (143),Crimes Against Property,Break & Enter-Commercial,1,0,161
312,2015,D32,NSA,Crimes Against Property,Fraud,3,0,162
313,2020,D32,Westminster-Branson (35),Crimes Against Property,Break & Enter-Other,1,0,163
314,2014,D42,Malvern East (146),Crimes Against Property,Theft Over $5000,6,0,164
315,2018,D33,Bayview Woods-Steeles (49),Crimes Against Property,Break & Enter-Commercial,3,0,165
316,2023,D41,NSA,Crimes Against Property,Theft Under $5000,2,0,166
317,2016,D32,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Break & Enter-Other,1,0,167
318,2021,D41,Birchcliffe-Cliffside (122),Crimes Against Property,Auto Theft,30,0,168
319,2014,D13,Forest Hill North (102),Crimes Against Property,Break & Enter-Commercial,1,0,169
320,2022,D43,NSA,Crimes Against Property,Break & Enter-Commercial,1,0,170
321,2016,D32,Westminster-Branson (35),Crimes Against Property,Break & Enter-House,9,0,171
322,2018,D23,NSA,Crimes Against Property,Theft Under $5000,8,0,172
323,2020,D53,Rosedale-Moore Park (98),Crimes Against Property,Theft Over $5000,10,0,173
324,2014,D31,Glenfield-Jane Heights (25),Crimes Against Property,Break & Enter-Other,3,0,174
325,2023,D12,NSA,Crimes Against the Person,Assault,2,0,175
326,2022,D53,Bay-Cloverhill (169),Crimes Against Property,Fraud,4,0,176
327,2021,D53,Bridle Path-Sunnybrook-York Mills (41),Crimes Against the Person,Sexual Violation,2,0,177
328,2017,NSA,NSA,Crimes Against Property,Auto Theft,33,0,178
329,2016,D53,NSA,Crimes Against Property,Theft Over $5000,1,0,179
330,2018,D53,Forest Hill North (102),Crimes Against Property,Break & Enter-Commercial,4,0,180
331,2019,D12,Rockcliffe-Smythe (111),Crimes Against Property,Theft Over $5000,4,0,181
332,2014,D33,Pleasant View (46),Crimes Against Property,Auto Theft,11,0,182
333,2022,D33,Pleasant View (46),Crimes Against Property,Auto Theft,27,0,183
334,2019,D42,NSA,Crimes Against Property,Theft Over $5000,1,0,184
335,2016,D23,Eringate-Centennial-West Deane (11),Crimes Against Property,Other,1,0,185
336,2016,D33,Parkwoods-O'Connor Hills (149),Crimes Against Property,Break & Enter-Apartment,7,0,186
337,2021,D32,Bathurst Manor (34),Crimes Against Property,Theft Over $5000,1,0,187
338,2022,D33,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Break & Enter-House,6,0,188
339,2015,D22,Humber Bay Shores (161),Crimes Against Property,Break & Enter-House,1,0,189
340,2022,D41,Bendale-Glen Andrew (156),Crimes Against Property,Break & Enter-House,1,0,190
341,2016,D23,Princess-Rosethorn (10),Crimes Against Property,Fraud,1,0,191
342,2021,D52,Downtown Yonge East (168),Crimes Against Property,Fraud,8,0,192
343,2014,D55,North Riverdale (68),Crimes Against Property,Break & Enter-Apartment,2,0,193
344,2017,D53,Leaside-Bennington (56),Crimes Against Property,Auto Theft,4,0,194
345,2016,D22,Kingsway South (15),Crimes Against Property,Theft Over $5000,2,0,195
346,2022,D32,Lawrence Park South (103),Crimes Against Property,Theft Under $5000,1,0,196
347,2014,D23,Thistletown-Beaumond Heights (3),Crimes Against Property,Theft Over $5000,1,0,197
348,2017,D23,Morningside Heights (144),Crimes Against Property,Other,1,0,198
349,2016,D55,Banbury-Don Mills (42),Crimes Against the Person,Assault,1,0,199
350,2021,D12,Junction Area (90),Crimes Against the Person,Other,1,0,200
201,2019,D55,NSA,Crimes Against Property,Other,1,0,201
202,2017,D11,South Parkdale (85),Crimes Against Property,Theft Over $5000,1,0,202
203,2022,D42,West Rouge (143),Crimes Against Property,Break & Enter-Apartment,1,0,203
204,2014,D51,Yonge-Bay Corridor (170),Crimes Against the Person,Sexual Violation,1,0,204
205,2015,D22,Blake-Jones (69),Crimes Against Property,Auto Theft,1,0,205
206,2020,D51,North St.James Town (74),Crimes Against Property,Break & Enter-House,1,0,206
207,2017,D32,Bayview Woods-Steeles (49),Crimes Against the Person,Other,1,0,207
208,2019,D31,Black Creek (24),Crimes Against Property,Break & Enter-Other,1,0,208
209,2015,D32,St.Andrew-Windfields (40),Crimes Against Property,Break & Enter-Apartment,12,0,209
210,2018,D33,Flemingdon Park (44),Crimes Against Property,Theft Under $5000,3,0,210
211,2017,D51,Rosedale-Moore Park (98),Crimes Against the Person,Assault,1,0,211
212,2019,D55,Birchcliffe-Cliffside (122),Crimes Against the Person,Assault,2,0,212
213,2023,D23,NSA,Crimes Against the Person,Robbery-Other,2,0,213
214,2015,D33,Victoria Village (43),Crimes Against Property,Theft Over $5000,2,0,214
215,2023,D13,Casa Loma (96),Crimes Against the Person,Sexual Violation,9,0,215
216,2019,D32,Lawrence Park North (105),Crimes Against Property,Break & Enter-Commercial,11,0,216
217,2023,D31,Pelmo Park-Humberlea (23),Crimes Against Property,Fraud,27,0,217
218,2016,D55,Woodbine-Lumsden (60),Crimes Against Property,Theft Over $5000,7,0,218
219,2018,D23,Humbermede (22),Crimes Against Property,Other,2,0,219
220,2022,D12,Beechborough-Greenbrook (112),Crimes Against the Person,Robbery-Other,1,0,220
221,2017,D23,Dorset Park (126),Crimes Against Property,Other,1,0,221
222,2021,D33,St.Andrew-Windfields (40),Crimes Against Property,Theft Over $5000,5,0,222
223,2021,D53,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Theft Over $5000,1,0,223
224,2022,D32,Bedford Park-Nortown (39),Crimes Against Property,Break & Enter-House,25,0,224
225,2020,D11,NSA,Crimes Against Property,Break & Enter-House,1,0,225
226,2020,D14,University (79),Crimes Against Property,Break & Enter-Apartment,4,0,226
227,2020,D53,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Break & Enter-Commercial,2,0,227
228,2019,D32,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Theft Over $5000,2,0,228
229,2021,D42,West Rouge (143),Crimes Against the Person,Sexual Violation,3,0,229
230,2023,D22,Eringate-Centennial-West Deane (11),Crimes Against the Person,Robbery-Other,9,0,230
231,2020,D22,Mimico-Queensway (160),Crimes Against Property,Break & Enter-Other,1,0,231
232,2018,D22,Alderwood (20),Crimes Against Property,Break & Enter-Other,2,0,232
233,2022,D53,Bridle Path-Sunnybrook-York Mills (41),Crimes Against the Person,Robbery-Other,1,0,233
234,2015,D51,Moss Park (73),Crimes Against Property,Theft Over $5000,14,0,234
235,2015,D32,NSA,Crimes Against Property,Other,7,0,235
236,2017,D55,Woodbine Corridor (64),Crimes Against Property,Theft Over $5000,3,0,236
237,2017,D32,Bathurst Manor (34),Crimes Against Property,Break & Enter-Commercial,3,0,237
238,2015,D22,Etobicoke West Mall (13),Crimes Against Property,Break & Enter-Other,2,0,238
239,2018,D12,Weston-Pelham Park (91),Crimes Against Property,Break & Enter-House,2,0,239
240,2015,D32,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Theft Over $5000,1,0,240
241,2016,D13,Casa Loma (96),Crimes Against Property,Break & Enter-Apartment,4,0,241
242,2017,D53,NSA,Crimes Against the Person,Sexual Violation,1,0,242
243,2016,D53,Thorncliffe Park (55),Crimes Against the Person,Robbery-Financial,1,0,243
244,2014,D41,Cliffcrest (123),Crimes Against the Person,Sexual Violation,2,0,244
245,2018,D32,St.Andrew-Windfields (40),Crimes Against the Person,Attempt Murder,1,0,245
246,2021,D22,Eringate-Centennial-West Deane (11),Crimes Against Property,Break & Enter-Apartment,3,0,246
247,2017,D55,Birchcliffe-Cliffside (122),Crimes Against the Person,Sexual Violation,1,0,247
248,2020,D33,Banbury-Don Mills (42),Crimes Against the Person,Robbery-Other,6,0,248
249,2016,D52,New Toronto (18),Crimes Against Property,Theft Under $5000,1,0,249
250,2014,D55,Playter Estates-Danforth (67),Crimes Against Property,Break & Enter-Other,2,0,250
251,2017,D43,Highland Creek (134),Crimes Against Property,Theft Over $5000,2,0,251
252,2020,D53,NSA,Crimes Against Property,Other,1,0,252
253,2017,D11,Runnymede-Bloor West Village (89),Crimes Against Property,Break & Enter-Other,2,0,253
254,2020,D32,St.Andrew-Windfields (40),Crimes Against Property,Break & Enter-Commercial,1,0,254
255,2023,D41,NSA,Crimes Against the Person,Sexual Violation,1,0,255
256,2014,D32,Clanton Park (33),Crimes Against Property,Break & Enter-House,27,0,256
257,2023,D13,Yorkdale-Glen Park (31),Crimes Against Property,Break & Enter-House,4,0,257
258,2018,D55,Oakridge (121),Crimes Against Property,Theft Under $5000,1,0,258
259,2022,D33,Flemingdon Park (44),Crimes Against Property,Fraud,1,0,259
260,2015,D43,Scarborough Village (139),Crimes Against Property,Auto Theft,16,0,260
261,2017,D43,The Beaches (63),Controlled Drugs and Substances Act,Other,1,0,261
262,2015,D14,East End-Danforth (62),Crimes Against Property,Theft Under $5000,1,0,262
263,2018,D11,NSA,Crimes Against Property,Fraud,1,0,263
264,2022,D33,Clairlea-Birchmount (120),Crimes Against the Person,Assault,1,0,264
265,2021,D55,Greenwood-Coxwell (65),Crimes Against Property,Break & Enter-Apartment,7,0,265
266,2015,D22,Wellington Place (164),Crimes Against Property,Other,1,0,266
267,2017,D31,Pelmo Park-Humberlea (23),Crimes Against Property,Break & Enter-House,12,0,267
268,2014,D32,Willowdale West (37),Crimes Against Property,Theft Over $5000,4,0,268
269,2020,D55,Danforth (66),Crimes Against the Person,Robbery-Financial,3,0,269
270,2019,D11,Little Portugal (84),Crimes Against Property,Break & Enter-Apartment,5,0,270
271,2020,D12,Junction Area (90),Crimes Against Property,Break & Enter-Other,2,0,271
272,2016,D14,South Parkdale (85),Crimes Against Property,Break & Enter-Other,3,0,272
273,2016,D32,Yonge-Doris (151),Crimes Against Property,Break & Enter-Commercial,5,0,273
274,2018,D33,Westminster-Branson (35),Crimes Against Property,Theft Under $5000,1,0,274
275,2015,D53,Leaside-Bennington (56),Crimes Against Property,Theft Over $5000,5,0,275
276,2017,D11,Weston-Pelham Park (91),Crimes Against the Person,Robbery-Other,6,0,276
277,2015,D55,Playter Estates-Danforth (67),Crimes Against Property,Break & Enter-Other,2,0,277
278,2020,D22,Edenbridge-Humber Valley (9),Crimes Against Property,Break & Enter-Apartment,2,0,278
279,2016,D14,St Lawrence-East Bayfront-The Islands (166),Crimes Against Property,Fraud,1,0,279
280,2017,D51,Weston (113),Crimes Against Property,Theft Under $5000,1,0,280
281,2015,D22,Princess-Rosethorn (10),Crimes Against Property,Theft Over $5000,4,0,281
282,2017,D52,Bridle Path-Sunnybrook-York Mills (41),Crimes Against Property,Theft Under $5000,1,0,282
283,2015,D55,North Riverdale (68),Crimes Against Property,Break & Enter-Other,2,0,283
284,2014,D14,Don Valley Village (47),Crimes Against the Person,Sexual Violation,1,0,284
285,2019,D13,Briar Hill-Belgravia (108),Crimes Against the Person,Attempt Murder,2,0,285
286,2014,D22,Princess-Rosethorn (10),Crimes Against Property,Break & Enter-Other,1,0,286
287,2021,D33,Parkwoods-O'Connor Hills (149),Crimes Against Property,Break & Enter-Apartment,3,0,287
288,2014,D52,Annex (95),Crimes Against Property,Other,1,0,288
289,2016,D53,Bay-Cloverhill (169),Crimes Against Property,Fraud,1,0,289
290,2021,D33,Flemingdon Park (44),Crimes Against the Person,Assault,1,0,290
291,2015,D52,South Riverdale (70),Crimes Against Property,Theft Over $5000,1,0,291
292,2014,D41,Bendale South (157),Crimes Against Property,Break & Enter-Other,1,0,292
293,2021,D53,Forest Hill South (101),Crimes Against the Person,Sexual Violation,1,0,293
294,2018,D51,North St.James Town (74),Crimes Against Property,Break & Enter-House,2,0,294
295,2016,NSA,Agincourt South-Malvern West (128),Crimes Against Property,Theft Under $5000,1,0,295
296,2015,D55,Clairlea-Birchmount (120),Crimes Against Property,Auto Theft,1,0,296
297,2021,D32,St.Andrew-Windfields (40),Crimes Against Property,Break & Enter-House,15,0,297
298,2018,D32,Westminster-Branson (35),Crimes Against Property,Break & Enter-Apartment,15,0,298
299,2021,D12,Pelmo Park-Humberlea (23),Crimes Against the Person,Other,4,0,299
300,2017,D53,Annex (95),Crimes Against Property,Break & Enter-Other,1,0,300
351,2018,D51,Regent Park (72),Crimes Against Property,Theft Over $5000,4,0,301
352,2019,D13,Englemount-Lawrence (32),Crimes Against Property,Break & Enter-Apartment,5,0,302
353,2021,D43,Scarborough Village (139),Crimes Against Property,Break & Enter-House,1,0,303
354,2014,D13,Forest Hill South (101),Crimes Against Property,Theft Over $5000,4,0,304
355,2017,D55,Playter Estates-Danforth (67),Crimes Against Property,Fraud,32,0,305
356,2020,D33,Flemingdon Park (44),Crimes Against Property,Theft Under $5000,2,0,306
357,2018,D13,Beechborough-Greenbrook (112),Crimes Against Property,Fraud,1,0,307
358,2018,D53,Bedford Park-Nortown (39),Crimes Against Property,Break & Enter-Other,3,0,308
359,2015,D41,Bay-Cloverhill (169),Other Criminal Code Violations,Other,1,0,309
360,2022,D42,East L'Amoreaux (148),Crimes Against Property,Break & Enter-Commercial,4,0,310
361,2016,D31,NSA,Crimes Against the Person,Sexual Violation,1,0,311
362,2015,D41,York University Heights (27),Crimes Against Property,Fraud,1,0,312
363,2018,D53,Casa Loma (96),Crimes Against Property,Break & Enter-House,10,0,313
364,2023,D52,Annex (95),Crimes Against Property,Other,7,0,314
365,2014,D33,Clairlea-Birchmount (120),Crimes Against Property,Other,2,0,315
366,2023,D13,Junction-Wallace Emerson (171),Crimes Against Property,Auto Theft,10,0,316
367,2018,D13,Caledonia-Fairbank (109),Crimes Against Property,Theft Over $5000,1,0,317
368,2015,D23,Thistletown-Beaumond Heights (3),Crimes Against the Person,Robbery-Financial,1,0,318
369,2022,D33,Victoria Village (43),Crimes Against Property,Break & Enter-House,1,0,319
370,2019,D13,Bedford Park-Nortown (39),Crimes Against Property,Theft Under $5000,1,0,320
371,2023,D53,Forest Hill North (102),Crimes Against Property,Break & Enter-Other,1,0,321
372,2014,D32,Avondale (153),Crimes Against Property,Auto Theft,9,0,322
373,2020,D12,NSA,Crimes Against Property,Auto Theft,2,0,323
374,2015,D23,Rexdale-Kipling (4),Crimes Against Property,Break & Enter-Commercial,7,0,324
